Model Name,RAM,ROM,CPU,OS,Price
Samsung Galaxy C7,4GB RAM,32/64GB built-in,2.0 GHz Octa-Core Cortex-A53,"Android OS, v6.0.1 (Marshmallow)","32,800/-"
Samsung Galaxy Grand Prime Plus,1.5GB RAM,8GB built-in,1.4 GHz Quad-Core Cortex-A53,Android OS 6.0.1 (Marshmallow),"17,700/-"
Samsung Galaxy Grand Prime,1GB RAM,8GB built-in,1.2 GHz Quad-core Cortex-A53,"Android OS, v4.4.2 (KitKat)","16,999/-"
Samsung Galaxy Grand Prime Pro,1.5GB RAM,16GB Built-in,1.4 Ghz Quad Core Cortex-A53,Android v7.1.1 Nougat,"16,999/-"
Samsung Galaxy J2,1GB RAM,8GB built-in,1.3 GHz Quad-Core Cortex-A7,"Android OS, v5.1.1 (Lollipop)","15,300/-"
Samsung Galaxy A7 2017,3GB RAM,32GB built-in,1.9 GHZ Octa-Core Cortex-A53,"Android OS, v6.0.1 (Marshmallow)",N/A/-
Samsung Galaxy A3 2017,"2GB RAM
Single SIM- microSD card (supports up to 256GB) (dedicated slot)",16GB built-in,1.6 GHz Octa-core Cortex-A53,"Android OS, v6.0.1 (Marshmallow)",N/A/-
Samsung Galaxy A3,1GB RAM,16GB built-in,1.2 GHz Quad-Core Cortex-A53,"Android OS, v4.4.4 (KitKat)",Discontinued/-
Samsung Galaxy S6,3GB RAM,32/64/128GB built-in,1.5 Quad-Core GHz Cortex-A53,"Android OS, v5.0 (Lollipop)",Discontinued/-
Samsung Galaxy A7,2GB RAM,16GB built-in,1.5 GHz Quad-core Cortex-A53,"Android OS, v4.4.4 (KitKat)",Discontinued/-
Samsung Galaxy S6 Edge,3GB RAM,32/64/128GB built-in,1.5 GHz Quad-Core Cortex-A53 + 2.1 GHz Quad-Core Cortex-A57,"Android OS, v5.0.2 (Lollipop)",Discontinued/-
Samsung Galaxy A3 2016,1.5GB RAM,16GB built-in,1.5 GHz Quad-core Cortex-A53,"Android OS, v5.1.1 (Lollipop)",Discontinued/-
Samsung Galaxy Grand Prime Pro,1.5GB RAM,16GB Built-in,1.4 Ghz Quad Core Cortex-A53,Android v7.1.1 Nougat,"16,999/-"
Samsung Galaxy Grand Prime Pro,1.5GB RAM,16GB Built-in,1.4 Ghz Quad Core Cortex-A53,Android v7.1.1 Nougat,"16,999/-"
Samsung Galaxy Grand Prime Pro,1.5GB RAM,16GB Built-in,1.4 Ghz Quad Core Cortex-A53,Android v7.1.1 Nougat,"16,999/-"
Oppo A57,3GB RAM MicroSD card (support up to 256GB) (uses SIM 2 slot),32GB built-in,1.4 GHz Octa-Core Cortex-A53,"Android OS, v6.0 (Marshmallow)","22,899/-"
Oppo A37,2GB RAM,16GB built-in,1.2 GHz Quad-Core Cortex-A53,Android 5.1.1 (Lollipop),"17,999/-"
Oppo Neo 5,1 GB RAM,4GB built-in,1.2 GHz Quad-Core Cortex-A7,"Android OS, v4.3 (Jelly Bean)",Discontinued/-
Oppo F1 Plus,4GB RAM,64GB built-in,2.0 GHz Octa-Core Cortex-A53,"Android OS, v5.1 (Lollipop)",Discontinued/-
Oppo F1s 4GB,4GB RAM,64GB built-in,1.5 GHz Octa-core Cortex-A53,"Android OS, v5.0 (Lollipop)",Discontinued/-
Nokia 2,1GB RAM,8GB built-in,1.3 GHz Quad-Core Cortex-A7,Android 7.1.1 (Nougat) upgradable to Android 8.1 (Oreo),"11,920/-"
Xiaomi Mi Max,3GB RAM,32GB built-in,1.4 GHz Quad-Core Cortex-A53,"Android OS, v6.0 (Marshmallow)","24,000/-"
Xiaomi Redmi Note 4,3GB RAM,32GB built-in,2.0 GHz Octa-Core Cortex-A53,"Android OS, v6.0 (Marshmallow)","18,999/-"
Xiaomi Redmi 4A,2GB RAM MicroSD card,16GB built-in,1.4 GHZ Quad-Core                                             ,Android Os 6.0 (Marshmallow),"14,500/-"
Infinix Note 3 Pro,3GB RAM,16GB built-in,1.3 GHZ Octa-Core,Androis OS v6.0 (Marshmallow),"19,499/-"
Infinix Zero 4,3GB RAM,32GB built-in,Octa-core,Android OS V6.0 (Marshmallow) + XOS,"19,499/-"
Infinix Note 3,2GB RAM,16GB built-in,1.3 GHZ Octa-Core,Androis OS v6.0 (Marshmallow),"17,999/-"
Infinix Zero 2,2GB RAM,16GB built-in,2.0 GHz Octa-Core Cortex-A53,Android v 4.4.2 (Kitkat),"17,800/-"
Infinix Zero 3,3GB RAM,16GB built-in,"2.0 GHz Octa-Core
GPU: PowerVR Series6                                             ",Android V5.1 (Lollipop),"15,999/-"
Infinix Hot Note Pro,2GB RAM,16GB built-in,1.4 GHZ Octa-Core                                             ,Android v5.1 (Lollipop),"14,300/-"
Infinix Hot 4,2GB RAM,16GB built-in,"1.3 GHZ Quad-Core
GPU: MT6580                                             ",Android OS V6.0 (Marshmallow),"12,999/-"
Infinix Hot Note,1GB RAM,16GB built-in,1.4 GHZ Octa-Core                                             ,Android v5.1 (Lollipop),"12,600/-"
Apple iphone 6s,2GB RAM,16/64/128GB built-in,Apple A9                                             ,iOS 9,"54,500/-"
